b'Date,Open,High,Low,Close,Adj Close,Volume
2021-06-08,61.500000,62.480000,60.669998,62.130001,60.392017,28953400
2021-06-09,62.669998,63.419998,62.189999,62.650002,60.897472,29133000
2021-06-10,63.610001,63.980000,62.250000,62.750000,60.994671,27488700
2021-06-11,63.009998,63.189999,62.139999,62.169998,60.430897,17631700
2021-06-14,62.299999,62.779999,61.570000,62.070000,60.333694,16997200
2021-06-15,62.480000,64.400002,62.349998,64.330002,62.530476,30717100
2021-06-16,64.320000,64.800003,63.560001,64.099998,62.306908,24803200
2021-06-17,63.860001,64.459999,61.270000,61.990002,60.255932,28491800
2021-06-18,61.000000,61.549999,60.240002,60.400002,58.710415,39590700
2021-06-21,60.930000,62.700001,60.900002,62.590000,60.839149,33145400
2021-06-22,62.849998,64.010002,62.230000,63.790001,62.005581,25140400
2021-06-23,64.050003,64.699997,63.580002,64.260002,62.462433,20701600
2021-06-24,64.150002,64.559998,63.810001,64.519997,62.715157,19568400
2021-06-25,64.610001,64.930000,64.360001,64.660004,62.851250,18438300
2021-06-28,64.559998,64.559998,62.750000,63.009998,61.247398,20570000
2021-06-29,63.209999,63.770000,62.590000,62.619999,60.868309,19579300
2021-06-30,62.700001,63.230000,62.450001,63.080002,61.315441,17875500
2021-07-01,64.330002,64.419998,62.770000,63.259998,61.490402,22530300
2021-07-02,63.009998,63.320000,62.419998,63.169998,61.402920,14555300
2021-07-06,62.750000,62.759998,60.900002,61.369999,59.653275,22110800
2021-07-07,61.180000,61.810001,59.619999,60.410000,58.720131,21671400
2021-07-08,59.450001,60.709999,59.310001,60.139999,58.457684,18935900
2021-07-09,60.700001,61.450001,60.240002,61.230000,59.517189,20086000
2021-07-12,60.419998,61.500000,60.160000,61.169998,59.458870,21809400
2021-07-13,61.000000,61.509998,60.509998,60.880001,59.176983,17147300
2021-07-14,61.169998,61.730000,59.360001,59.529999,57.864746,21573600
2021-07-15,59.169998,59.700001,58.770000,58.950001,57.300972,15851100
2021-07-16,59.180000,59.259998,57.150002,57.320000,55.716568,27049500
2021-07-19,55.639999,56.200001,54.599998,55.349998,53.801674,37969100
2021-07-20,55.500000,56.599998,55.029999,55.959999,54.394608,26756100
2021-07-21,56.860001,58.299999,56.830002,57.759998,56.144257,20908700
2021-07-22,57.730000,57.740002,56.660000,57.110001,55.512444,13493800
2021-07-23,57.290001,57.290001,56.470001,57.040001,55.444401,14088200
2021-07-26,57.160000,58.650002,57.000000,58.480000,56.844116,18387600
2021-07-27,58.009998,58.009998,57.209999,57.830002,56.212303,16861400
2021-07-28,58.000000,58.630001,57.619999,58.220001,56.591393,16855300
2021-07-29,59.000000,59.330002,58.560001,58.930000,57.281532,18607800
2021-07-30,58.880001,58.880001,57.320000,57.570000,55.959576,28641900
2021-08-02,57.549999,59.060001,57.400002,57.580002,55.969299,20873800
2021-08-03,57.570000,58.410000,56.930000,58.200001,56.571953,18208200
2021-08-04,57.189999,57.880001,56.810001,56.840000,55.249996,20868300
2021-08-05,57.130001,57.700001,56.830002,57.200001,55.599926,15180200
2021-08-06,57.660000,58.070000,57.529999,57.860001,56.241463,14880200
2021-08-09,57.130001,57.520000,56.830002,57.200001,55.599926,17828200
2021-08-10,57.419998,58.360001,57.299999,58.180000,56.552509,16340200
2021-08-11,58.189999,58.500000,57.720001,58.349998,56.717754,18278600
